ycc,xcc,y,x
17.99389026,2.146720865,-17.99389026,17.14672087
18.09814913,1.657775526,-18.09814913,16.65777553
18.1754734,1.163854062,-18.1754734,16.16385406
18.22563097,0.66643907,-18.22563097,15.66643907
18.24847127,0.167023636,-18.24847127,15.16702364
18.24392577,-0.332893151,-18.24392577,14.66710685
18.21200809,-0.831810696,-18.21200809,14.1681893
18.15281404,-1.328231405,-18.15281404,13.6717686
18.06652131,-1.820665177,-18.06652131,13.17933482
17.95338892,-2.30763388,-17.95338892,12.69236612
17.81375645,-2.787675785,-17.81375645,12.21232422
17.64804305,-3.259349956,-17.64804305,11.74065004
17.45674613,-3.721240575,-17.45674613,11.27875943
17.2404399,-4.171961189,-17.2404399,10.82803881
16.99977366,-4.610158875,-16.99977366,10.38984113
16.73546979,-5.034518302,-16.73546979,9.965481698
16.44832167,-5.443765674,-16.44832167,9.556234326
16.13919122,-5.836672558,-16.13919122,9.163327442
15.80900635,-6.21205957,-15.80900635,8.78794043
15.45875818,-6.568799915,-15.45875818,8.431200085
15.08949804,-6.90582277,-15.08949804,8.09417723
14.70233434,-7.222116497,-14.70233434,7.777883503
14.29842921,-7.516731682,-14.29842921,7.483268318
13.87899507,-7.78878398,-13.87899507,7.21121602
13.44529091,-8.037456777,-13.44529091,6.962543223
12.99861859,-8.262003633,-12.99861859,6.737996367
12.54031887,-8.46175053,-12.54031887,6.53824947
12.07176743,-8.636097888,-12.07176743,6.363902112
11.59437071,-8.784522373,-11.59437071,6.215477627
11.10956171,-8.906578458,-11.10956171,6.093421542
10.61879567,-9.001899772,-10.61879567,5.998100228
10.12354572,-9.070200187,-10.12354572,5.929799813
9.625298455,-9.111274689,-9.625298455,5.888725311
9.125549446,-9.124999983,-9.125549446,5.875000017
8.625798788,-9.111334872,-8.625798788,5.888665128
8.127546576,-9.070320373,-8.127546576,5.929679627
7.632288409,-9.002079599,-7.632288409,5.997920401
7.141510897,-8.906817388,-7.141510897,6.093182612
6.656687201,-8.784819687,-6.656687201,6.215180313
6.17927261,-8.636452695,-6.17927261,6.363547305
5.710700176,-8.462161763,-5.710700176,6.537838237
5.252376405,-8.26247006,-5.252376405,6.73752994
4.805677043,-8.037976996,-4.805677043,6.962023004
4.371942942,-7.789356431,-4.371942942,7.210643569
3.952476038,-7.517354645,-3.952476038,7.482645355
3.548535438,-7.222788104,-3.548535438,7.777211896
3.161333647,-6.906541003,-3.161333647,8.093458997
2.792032924,-6.569562619,-2.792032924,8.430437381
2.441741794,-6.212864456,-2.441741794,8.787135544
2.111511722,-5.83751721,-2.111511722,9.16248279
1.802333956,-5.444647557,-1.802333956,9.555352443
1.515136552,-5.035434768,-1.515136552,9.964565232
1.250781586,-4.611107174,-1.250781586,10.38889283
1.010062569,-4.172938473,-1.010062569,10.82706153
0.793702066,-3.722243911,-0.793702066,11.27775609
0.602349522,-3.260376333,-0.602349522,11.73962367
0.436579319,-2.788722122,-0.436579319,12.21127788
0.296889047,-2.308697035,-0.296889047,12.69130297
0.183698013,-1.82174196,-0.183698013,13.17825804
0.09734598,-1.329318584,-0.09734598,13.67068142
0.038092151,-0.832905007,-0.038092151,14.16709499
0.006114388,-0.333991309,-0.006114388,14.66600869
